ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Very Close to Dam,257,767,None,Low,Rocky,Poor,Steep,Rare,Absent,Severe,Transition,Moderate,Moderate,Medium
Very Close to River,197,495,Dense,Medium,Clay,Good,Moderate,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Close to Stream,177,748,Moderate,Medium,Rocky,Good,Moderate,Rare,Absent,Moderate,Transition,Weak,None,Low
Far from River,162,535,Sparse,Low,Rocky,Good,Moderate,Frequent,Present,Moderate,Rainy,Weak,None,Low
Very Close to Stream,183,769,Dense,Medium,Sandy,Poor,Flat,Rare,Present,Moderate,Dry,Weak,Moderate,Medium
Moderately Close to River,288,335,Dense,High,Loamy,Good,Steep,Rare,Present,Moderate,Transition,Weak,None,Low
Far from Dam,73,151,Sparse,Low,Sandy,Poor,Moderate,Occasional,Present,Moderate,Rainy,Moderate,None,Low
Close to River,61,631,Moderate,Low,Rocky,Moderate,Moderate,Rare,Absent,Severe,Rainy,Moderate,None,Medium
Very Close to Dam,43,484,None,Low,Rocky,Poor,Moderate,Rare,Present,Severe,Dry,Weak,None,Medium
Very Close to River,231,102,Sparse,High,Clay,Good,Flat,Occasional,Absent,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Stream,185,505,None,Medium,Clay,Poor,Steep,Rare,Absent,None,Transition,Weak,None,Low
Close to Stream,200,331,Moderate,Medium,Rocky,Moderate,Moderate,Rare,Absent,Severe,Rainy,Strong,Moderate,Low
Very Close to Dam,268,182,Dense,High,Rocky,Good,Moderate,Rare,Present,None,Rainy,Weak,Moderate,Low
Close to Lagoon,125,95,Sparse,Low,Sandy,Good,Flat,Occasional,Absent,None,Dry,Weak,None,Low
Far from Lake,166,843,Dense,Low,Sandy,Good,Steep,Frequent,Absent,Severe,Transition,Weak,Severe,Low
Very Close to Dam,200,785,None,Medium,Clay,Poor,Moderate,Frequent,Present,Severe,Dry,Weak,Severe,High
Very Far from Lagoon,79,478,Dense,Low,Clay,Moderate,Moderate,Occasional,Absent,None,Transition,Moderate,Severe,Low
Very Far from River,167,685,Sparse,Low,Rocky,Moderate,Moderate,Rare,Present,Severe,Transition,Moderate,Severe,Low
Far from River,74,845,Dense,High,Sandy,Good,Flat,Rare,Present,Severe,Rainy,Strong,None,Medium
Very Far from Lake,32,826,None,Medium,Rocky,Moderate,Moderate,Rare,Absent,Severe,Transition,Strong,Severe,Medium
Moderately Close to Lake,207,36,Sparse,Medium,Sandy,Poor,Moderate,Frequent,Absent,Moderate,Dry,Weak,Severe,Medium
Far from River,14,106,Dense,Low,Clay,Good,Moderate,Occasional,Present,None,Transition,Weak,None,None
Moderately Close to River,187,103,Dense,High,Loamy,Poor,Steep,Occasional,Present,Moderate,Dry,Strong,Moderate,Low
Far from River,52,46,None,High,Sandy,Poor,Steep,Frequent,Absent,Severe,Dry,Moderate,None,Medium
Close to Lagoon,184,745,Dense,High,Sandy,Good,Steep,Rare,Present,None,Rainy,Moderate,Moderate,Low
Very Close to Stream,162,467,Dense,High,Loamy,Good,Moderate,Occasional,Absent,Severe,Rainy,Moderate,None,Medium
Very Close to Lagoon,73,881,Dense,Medium,Loamy,Good,Moderate,Rare,Present,Moderate,Transition,Weak,Moderate,Medium
Far from Lagoon,248,895,Moderate,Low,Clay,Good,Flat,Occasional,Absent,Moderate,Transition,Weak,Moderate,Low
Moderately Close to Dam,27,823,None,Medium,Sandy,Good,Steep,Frequent,Present,Moderate,Transition,Moderate,Moderate,Medium
Very Close to Lagoon,152,623,Sparse,Medium,Rocky,Moderate,Flat,Rare,Absent,Moderate,Dry,Moderate,Severe,Medium
Very Close to Lake,274,798,Sparse,Medium,Loamy,Good,Steep,Frequent,Absent,Moderate,Dry,Weak,None,Medium
Very Close to Lake,187,449,Dense,High,Rocky,Moderate,Moderate,Frequent,Absent,Severe,Transition,Strong,Moderate,Medium
Very Close to Lake,79,134,Dense,High,Loamy,Poor,Moderate,Rare,Present,Moderate,Transition,Strong,Moderate,Medium
Far from Lagoon,102,124,Sparse,High,Sandy,Good,Steep,Rare,Present,Moderate,Dry,Moderate,Moderate,Low
Close to Dam,183,177,None,Low,Sandy,Poor,Flat,Occasional,Present,Severe,Dry,Strong,Moderate,Low
Very Close to Lagoon,249,222,None,Low,Sandy,Good,Flat,Rare,Absent,Severe,Rainy,Strong,Severe,Medium
Very Close to River,261,610,Dense,Low,Loamy,Good,Steep,Rare,Absent,Severe,Rainy,Moderate,None,Low
Moderately Close to River,252,42,Sparse,High,Sandy,Moderate,Moderate,Rare,Absent,None,Rainy,Weak,Severe,Medium
Very Far from Lagoon,78,714,Dense,Low,Rocky,Poor,Flat,Frequent,Absent,Moderate,Rainy,Strong,Severe,Medium
Moderately Close to Stream,170,626,Moderate,Medium,Clay,Poor,Moderate,Frequent,Present,None,Transition,Moderate,Moderate,Low
Far from Lake,164,548,Dense,Medium,Rocky,Poor,Steep,Rare,Absent,None,Rainy,Moderate,Moderate,Low
Very Far from River,83,376,Moderate,High,Clay,Good,Moderate,Rare,Absent,None,Dry,Moderate,None,Low
Far from Lake,284,772,Sparse,Medium,Rocky,Poor,Moderate,Occasional,Present,Severe,Dry,Strong,Severe,Medium
Very Far from River,136,861,Sparse,Medium,Rocky,Good,Moderate,Occasional,Present,Moderate,Transition,Moderate,Moderate,Low
Very Far from Stream,93,614,None,Low,Sandy,Poor,Steep,Rare,Present,Moderate,Transition,Strong,Severe,Low
Very Far from Stream,179,645,Dense,Medium,Clay,Poor,Flat,Occasional,Present,None,Transition,Weak,Moderate,Low
Very Far from Lagoon,98,487,Moderate,Low,Loamy,Poor,Moderate,Frequent,Present,Severe,Rainy,Strong,Severe,Medium
Far from Dam,300,542,Moderate,High,Sandy,Moderate,Steep,Occasional,Absent,None,Dry,Weak,Moderate,Low
Very Close to River,15,451,Moderate,High,Sandy,Moderate,Steep,Rare,Present,Moderate,Dry,Weak,None,Medium
Moderately Close to Lake,127,406,Moderate,Low,Clay,Moderate,Flat,Frequent,Present,Moderate,Dry,Moderate,Severe,Medium
Close to Lake,59,476,None,Medium,Sandy,Poor,Steep,Frequent,Present,Severe,Transition,Moderate,Severe,Medium
Close to Stream,31,474,Moderate,Low,Clay,Moderate,Steep,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Very Close to River,294,918,Dense,Medium,Rocky,Poor,Flat,Frequent,Present,Severe,Dry,Strong,Moderate,Medium
Very Far from River,150,895,None,Low,Sandy,Moderate,Flat,Rare,Present,None,Transition,Strong,None,Low
Far from Dam,210,183,Sparse,Medium,Clay,Moderate,Moderate,Occasional,Present,None,Rainy,Moderate,Moderate,Low
Close to River,231,502,Moderate,Medium,Loamy,Moderate,Moderate,Occasional,Absent,Severe,Dry,Weak,None,Medium
Moderately Close to Lake,74,629,Dense,High,Rocky,Moderate,Flat,Occasional,Present,None,Rainy,Moderate,None,Medium
Very Close to River,50,856,Sparse,Medium,Loamy,Poor,Flat,Rare,Present,Moderate,Dry,Moderate,None,Medium
Close to Lagoon,196,683,Sparse,Medium,Sandy,Poor,Moderate,Rare,Absent,Moderate,Rainy,Weak,Moderate,Medium
Far from River,226,416,Dense,High,Rocky,Moderate,Flat,Rare,Absent,None,Rainy,Weak,Moderate,Medium
Very Close to Lake,9,40,None,Low,Clay,Poor,Flat,Occasional,Absent,Severe,Rainy,Strong,Severe,High
Moderately Close to River,97,922,Moderate,High,Rocky,Poor,Steep,Occasional,Absent,None,Dry,Strong,None,Low
Very Far from River,152,579,Dense,High,Loamy,Poor,Moderate,Rare,Absent,None,Dry,Weak,None,Low
Very Close to Lagoon,152,493,Moderate,High,Loamy,Good,Steep,Occasional,Present,None,Rainy,Strong,Moderate,Low
Moderately Close to Lagoon,54,556,None,Low,Rocky,Good,Steep,Rare,Present,None,Rainy,Strong,None,Low
Close to Dam,141,996,Dense,High,Rocky,Moderate,Steep,Rare,Absent,None,Rainy,Weak,None,Medium
Far from Stream,188,879,Dense,Medium,Loamy,Moderate,Flat,Rare,Absent,Moderate,Dry,Strong,None,Low
Moderately Close to Stream,169,14,Moderate,High,Clay,Poor,Flat,Frequent,Present,None,Transition,Moderate,None,Low
Very Close to Lake,83,982,Moderate,Low,Loamy,Poor,Flat,Frequent,Present,Severe,Dry,Strong,None,Medium
Moderately Close to Dam,271,552,None,High,Rocky,Good,Steep,Rare,Present,Moderate,Transition,Moderate,Moderate,Low
Close to Dam,288,216,None,Medium,Clay,Poor,Moderate,Occasional,Present,Severe,Rainy,Strong,None,Medium
Very Close to River,64,674,Moderate,Medium,Clay,Poor,Moderate,Frequent,Present,Moderate,Transition,Moderate,Moderate,Medium
Moderately Close to Lake,228,598,Moderate,Medium,Sandy,Moderate,Steep,Frequent,Absent,Severe,Rainy,Moderate,None,Medium
Far from Lake,3,138,Moderate,Low,Rocky,Good,Steep,Rare,Present,Severe,Rainy,Strong,None,Low
Close to Dam,96,55,None,Low,Sandy,Moderate,Moderate,Frequent,Present,None,Transition,Moderate,Severe,Low
Very Close to Dam,38,725,Dense,Medium,Loamy,Poor,Flat,Occasional,Present,Severe,Rainy,Weak,Moderate,High
Moderately Close to Lake,124,779,Sparse,High,Loamy,Good,Moderate,Frequent,Present,Moderate,Dry,Strong,Severe,Medium
Close to Lagoon,4,219,Sparse,Low,Loamy,Moderate,Flat,Frequent,Present,Severe,Transition,Moderate,Severe,Medium
Very Far from Dam,122,818,Moderate,High,Sandy,Good,Moderate,Frequent,Absent,None,Dry,Weak,Moderate,Medium
Moderately Close to Lagoon,148,944,None,High,Rocky,Poor,Steep,Occasional,Present,None,Rainy,Moderate,None,Medium
Moderately Close to River,227,852,Moderate,High,Sandy,Moderate,Moderate,Occasional,Present,None,Dry,Moderate,Moderate,Low
Moderately Close to Lake,154,265,Moderate,High,Rocky,Poor,Flat,Frequent,Present,Moderate,Rainy,Weak,Moderate,Medium
Moderately Close to Lake,2,500,Sparse,Medium,Clay,Moderate,Moderate,Rare,Absent,Moderate,Dry,Moderate,Moderate,Medium
Moderately Close to Lake,247,753,Moderate,High,Sandy,Poor,Steep,Rare,Present,None,Rainy,Weak,Moderate,Medium
Moderately Close to Lagoon,269,630,Moderate,Medium,Clay,Poor,Flat,Frequent,Absent,Severe,Rainy,Moderate,Severe,Medium
Very Close to Lagoon,176,720,Dense,Medium,Loamy,Poor,Moderate,Rare,Present,None,Transition,Weak,Severe,Medium
Moderately Close to Dam,177,579,Dense,Low,Clay,Moderate,Steep,Rare,Present,Moderate,Transition,Moderate,Severe,Low
Close to Lagoon,140,950,None,High,Loamy,Poor,Steep,Occasional,Present,None,Dry,Weak,None,Medium
Moderately Close to Lake,130,750,Dense,High,Sandy,Moderate,Moderate,Frequent,Present,Moderate,Dry,Moderate,Severe,Medium
Far from River,287,383,Dense,Medium,Sandy,Good,Steep,Frequent,Absent,Moderate,Rainy,Weak,Severe,Low
Moderately Close to Stream,210,684,Sparse,Medium,Loamy,Moderate,Moderate,Occasional,Present,None,Transition,Moderate,Severe,Low
Very Far from Dam,234,102,None,High,Loamy,Poor,Steep,Rare,Present,Severe,Transition,Moderate,None,Low
Moderately Close to Dam,237,447,Dense,Low,Clay,Poor,Steep,Occasional,Absent,None,Rainy,Moderate,Severe,Low
Close to Stream,119,446,Sparse,Low,Rocky,Poor,Flat,Occasional,Absent,Moderate,Rainy,Weak,Moderate,Medium
Moderately Close to Lake,272,400,Dense,High,Loamy,Good,Flat,Occasional,Absent,Severe,Transition,Moderate,None,Low
Close to Stream,27,808,Sparse,Low,Clay,Good,Steep,Rare,Present,Severe,Rainy,Strong,Severe,Medium
Far from Lake,133,88,Sparse,High,Clay,Poor,Moderate,Frequent,Absent,None,Rainy,Weak,Severe,Medium
Very Far from Lagoon,249,624,Sparse,Medium,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Weak,None,Low
Very Close to Lagoon,62,131,None,High,Sandy,Moderate,Moderate,Rare,Present,Moderate,Transition,Moderate,None,Medium
Close to Dam,252,444,Moderate,Medium,Clay,Good,Steep,Frequent,Absent,None,Transition,Strong,None,Low
Close to River,300,42,Moderate,High,Clay,Poor,Steep,Occasional,Present,Severe,Dry,Moderate,Severe,Low
Very Far from Lagoon,280,407,Sparse,Low,Clay,Poor,Flat,Rare,Present,Moderate,Rainy,Strong,Severe,Medium
Close to Dam,194,107,Sparse,High,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Dry,Moderate,Severe,Medium
Far from Stream,182,129,Sparse,Medium,Rocky,Poor,Moderate,Frequent,Present,Moderate,Rainy,Strong,Moderate,Medium
Very Close to Dam,96,425,Dense,Low,Clay,Good,Flat,Rare,Absent,Severe,Rainy,Weak,Moderate,Medium
Close to River,70,281,Sparse,Low,Rocky,Moderate,Steep,Occasional,Absent,None,Rainy,Weak,Moderate,Low
Close to Dam,276,963,None,High,Clay,Moderate,Moderate,Occasional,Present,Severe,Dry,Weak,None,Medium
Far from Stream,165,721,Sparse,Medium,Clay,Moderate,Moderate,Rare,Present,Severe,Dry,Strong,Moderate,Low
Far from Lake,253,825,Sparse,Low,Sandy,Good,Steep,Rare,Absent,None,Transition,Moderate,Severe,Low
Very Far from Lake,165,115,None,Low,Sandy,Poor,Steep,Occasional,Absent,None,Rainy,Weak,Moderate,Low
Far from Lagoon,269,99,Moderate,Low,Loamy,Good,Flat,Frequent,Present,None,Transition,Moderate,None,None
Close to Dam,256,49,Dense,Medium,Loamy,Poor,Steep,Occasional,Absent,Moderate,Rainy,Moderate,None,Low
Moderately Close to Dam,278,469,None,Medium,Loamy,Moderate,Steep,Occasional,Present,Moderate,Rainy,Moderate,Moderate,Medium
Very Close to Lake,27,709,Dense,High,Clay,Moderate,Moderate,Rare,Present,Moderate,Dry,Moderate,None,Medium
Far from Stream,134,26,Dense,Medium,Rocky,Moderate,Flat,Occasional,Absent,None,Dry,Moderate,Moderate,Low
Very Far from Stream,74,329,Dense,Low,Clay,Good,Flat,Rare,Absent,Moderate,Dry,Moderate,Moderate,Low
Very Close to Dam,13,854,None,High,Sandy,Good,Steep,Rare,Absent,Moderate,Transition,Strong,None,Medium
Moderately Close to Dam,18,472,Sparse,Low,Sandy,Good,Flat,Frequent,Absent,Moderate,Rainy,Weak,Moderate,Medium
Moderately Close to River,234,213,None,Low,Rocky,Poor,Steep,Frequent,Present,None,Rainy,Moderate,None,Low
Very Close to Stream,123,220,Sparse,Low,Sandy,Good,Steep,Occasional,Absent,Severe,Dry,Weak,None,Low
Close to River,237,4,None,Low,Clay,Good,Moderate,Occasional,Present,Severe,Rainy,Strong,Moderate,Low
Moderately Close to Dam,44,761,None,High,Rocky,Good,Steep,Occasional,Absent,Severe,Rainy,Strong,Severe,Medium
Close to Lake,187,423,Sparse,High,Sandy,Good,Moderate,Rare,Absent,None,Transition,Weak,Severe,Medium
Far from Lake,1,957,None,High,Loamy,Good,Moderate,Occasional,Present,None,Dry,Moderate,None,Low
Very Close to Lake,141,350,Dense,Medium,Sandy,Poor,Flat,Rare,Present,Moderate,Dry,Strong,Severe,Medium
Close to Lagoon,6,820,Moderate,High,Clay,Poor,Moderate,Rare,Present,None,Transition,Strong,None,Medium
Very Far from Lake,229,738,Dense,Low,Clay,Poor,Moderate,Occasional,Absent,Moderate,Transition,Weak,Severe,Low
Moderately Close to Lake,270,161,None,High,Sandy,Good,Moderate,Occasional,Present,None,Rainy,Moderate,Moderate,Low
Very Far from Stream,221,488,Dense,Low,Clay,Good,Moderate,Occasional,Present,None,Transition,Strong,None,None
Very Far from Dam,208,691,None,High,Clay,Poor,Flat,Occasional,Present,None,Dry,Strong,None,Low
Close to River,16,418,Dense,High,Sandy,Poor,Moderate,Frequent,Present,Moderate,Rainy,Weak,Severe,High
Close to River,93,395,Sparse,Medium,Sandy,Poor,Moderate,Rare,Absent,Severe,Transition,Weak,Moderate,Medium
Very Far from Dam,226,489,Sparse,Low,Sandy,Moderate,Flat,Occasional,Present,None,Transition,Moderate,Severe,Low
Moderately Close to Lake,203,414,Dense,High,Rocky,Good,Moderate,Rare,Absent,Severe,Transition,Strong,None,Low
Moderately Close to Stream,28,915,Dense,Medium,Rocky,Poor,Steep,Frequent,Absent,None,Dry,Weak,None,Medium
Far from Lagoon,185,695,Moderate,Medium,Sandy,Poor,Moderate,Rare,Present,Moderate,Dry,Strong,Moderate,Low
Moderately Close to Stream,141,18,Sparse,Low,Sandy,Poor,Steep,Rare,Present,Severe,Dry,Weak,Moderate,Low
Close to Stream,76,61,Dense,Low,Loamy,Good,Moderate,Rare,Present,None,Transition,Strong,Severe,Low
Very Far from Stream,106,430,None,Medium,Loamy,Good,Flat,Occasional,Present,Moderate,Rainy,Moderate,Severe,Medium
Close to Lagoon,126,250,Moderate,High,Loamy,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Moderate,Moderate,Low
Very Close to River,108,298,Dense,Low,Clay,Good,Steep,Occasional,Present,Severe,Transition,Weak,None,Low
Close to Lagoon,164,708,Sparse,Medium,Loamy,Poor,Moderate,Frequent,Present,None,Transition,Strong,None,Medium
Very Close to River,286,83,Dense,Medium,Clay,Poor,Moderate,Occasional,Absent,Severe,Dry,Strong,Severe,Medium
Far from Lake,253,201,None,High,Sandy,Good,Moderate,Occasional,Absent,Moderate,Transition,Moderate,Moderate,Low
Close to Stream,72,630,Sparse,Low,Sandy,Moderate,Steep,Frequent,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Lagoon,289,805,Moderate,Medium,Clay,Poor,Flat,Occasional,Present,Severe,Rainy,Weak,Severe,Medium
Moderately Close to Lagoon,14,449,Dense,Low,Clay,Poor,Flat,Occasional,Absent,Moderate,Rainy,Weak,None,Medium
Moderately Close to Stream,228,988,None,Low,Clay,Good,Flat,Occasional,Present,Severe,Rainy,Moderate,Moderate,Medium
Far from Stream,31,3,Moderate,High,Loamy,Good,Flat,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Very Close to River,207,261,Sparse,Medium,Loamy,Poor,Steep,Frequent,Present,None,Transition,Strong,None,Low
Very Far from Lake,177,932,Sparse,Medium,Loamy,Good,Steep,Frequent,Present,Moderate,Dry,Moderate,None,Low
Close to Lake,64,493,None,Medium,Rocky,Good,Steep,Occasional,Present,Severe,Dry,Weak,Severe,Medium
Far from Lake,65,885,None,High,Sandy,Good,Flat,Rare,Absent,None,Rainy,Strong,Moderate,Medium
Close to Lagoon,146,636,Moderate,Low,Clay,Poor,Moderate,Occasional,Present,None,Transition,Weak,None,Low
Moderately Close to Stream,266,739,Moderate,Low,Loamy,Good,Steep,Rare,Present,Severe,Transition,Strong,Severe,Low
Close to Lagoon,94,731,Dense,High,Sandy,Poor,Flat,Rare,Absent,None,Dry,Strong,Moderate,Medium
Close to River,222,682,Sparse,Medium,Clay,Poor,Steep,Frequent,Present,Moderate,Rainy,Moderate,Severe,Medium
Close to Lagoon,0,247,Sparse,Low,Loamy,Poor,Steep,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Very Far from River,197,182,Dense,Medium,Loamy,Good,Moderate,Frequent,Present,Severe,Transition,Weak,Severe,Low
Far from Lake,137,418,Dense,High,Loamy,Moderate,Flat,Occasional,Present,None,Rainy,Strong,Moderate,Low
Very Far from Lake,143,872,Dense,High,Clay,Good,Moderate,Occasional,Absent,None,Dry,Strong,Severe,Low
Moderately Close to Dam,15,603,None,Low,Rocky,Good,Steep,Occasional,Absent,Severe,Dry,Moderate,Moderate,Low
Far from River,238,390,Dense,Low,Loamy,Poor,Moderate,Rare,Absent,None,Rainy,Strong,None,Low
Very Far from Stream,94,817,Sparse,Medium,Clay,Poor,Moderate,Frequent,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to River,39,735,Sparse,Low,Rocky,Moderate,Moderate,Occasional,Absent,Moderate,Transition,Strong,Severe,Medium
Moderately Close to Lagoon,106,81,Moderate,High,Loamy,Good,Steep,Occasional,Absent,Severe,Transition,Weak,Severe,Low
Very Close to Lagoon,137,186,Moderate,Low,Loamy,Good,Flat,Frequent,Present,None,Transition,Moderate,None,Low
Close to Lake,75,733,Dense,High,Loamy,Good,Flat,Rare,Absent,Moderate,Rainy,Strong,Moderate,Medium
Far from Dam,116,709,Moderate,Low,Sandy,Poor,Flat,Rare,Absent,None,Rainy,Strong,Severe,Medium
Moderately Close to River,147,127,Moderate,Medium,Sandy,Poor,Steep,Occasional,Absent,Moderate,Dry,Weak,None,Low
Close to Dam,296,920,None,High,Rocky,Poor,Flat,Frequent,Present,Severe,Transition,Weak,None,High
Close to Lake,209,18,Sparse,High,Sandy,Good,Steep,Rare,Absent,None,Dry,Weak,Severe,Low
Far from Dam,6,931,None,Medium,Clay,Good,Moderate,Frequent,Present,Severe,Dry,Weak,None,Medium
Very Far from Lake,277,495,Sparse,Low,Clay,Good,Flat,Occasional,Present,None,Rainy,Weak,Severe,Low
Moderately Close to River,85,342,Moderate,Low,Loamy,Poor,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Low
Very Close to Lake,6,655,None,Low,Loamy,Poor,Flat,Rare,Absent,Severe,Dry,Weak,Moderate,High
Very Close to Lake,100,788,None,Medium,Rocky,Good,Moderate,Rare,Present,None,Rainy,Weak,Moderate,Medium
Very Far from Dam,193,557,None,High,Rocky,Good,Moderate,Rare,Present,Severe,Transition,Strong,Severe,Low
Far from Dam,185,644,Sparse,High,Clay,Moderate,Steep,Rare,Present,Moderate,Transition,Weak,None,Low
Moderately Close to Lagoon,241,594,None,High,Rocky,Good,Moderate,Occasional,Present,Moderate,Rainy,Strong,Moderate,Medium
Very Close to Lagoon,133,52,Moderate,High,Sandy,Poor,Moderate,Rare,Present,Severe,Transition,Weak,Moderate,Medium
Close to River,248,202,None,High,Clay,Moderate,Moderate,Occasional,Present,Moderate,Transition,Moderate,Moderate,Low
Close to Lagoon,15,895,Sparse,Low,Clay,Good,Steep,Frequent,Absent,Moderate,Dry,Moderate,Moderate,Medium
Close to River,274,362,Dense,High,Loamy,Moderate,Moderate,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Very Far from Stream,42,315,Sparse,High,Loamy,Good,Steep,Rare,Absent,Severe,Dry,Moderate,Moderate,Low
Very Close to Lake,269,929,Dense,High,Loamy,Good,Steep,Occasional,Absent,Severe,Transition,Strong,Severe,Low
Very Close to Lagoon,85,748,Moderate,Low,Sandy,Poor,Flat,Frequent,Absent,Moderate,Rainy,Strong,Severe,High
Very Far from Lake,188,552,Sparse,Low,Clay,Moderate,Moderate,Rare,Present,Severe,Dry,Strong,Moderate,Low
Close to Dam,21,549,None,Low,Rocky,Poor,Flat,Rare,Absent,None,Transition,Moderate,None,Medium
Moderately Close to Stream,163,205,Dense,High,Clay,Good,Flat,Rare,Present,Moderate,Transition,Moderate,None,Low
Far from Stream,172,766,Sparse,High,Loamy,Poor,Steep,Rare,Absent,None,Transition,Strong,Severe,Low
Close to Stream,88,104,Moderate,High,Rocky,Moderate,Flat,Occasional,Absent,Severe,Rainy,Moderate,Moderate,Medium
